press_release,party,claim_number,claim_text,claim_desc,assigned_to,double_annotate,is_claim_pred,claim_boundary_ok_pred,topic_ai_relevant_pred
20240313-democracy-leaders-introduce-solutions-curb-emerging-digital-threats.txt,Democratic,4,Deepfakes are a powerful and dangerous tool in the arsenal of those that want to wage disinformation campaigns.,,Zack,0,1,1,0
20240313-democracy-leaders-introduce-solutions-curb-emerging-digital-threats.txt,Democratic,9,Widespread access to generative AI is making disinformation damage so much more sophisticated and easier to disseminate.,,Zack,0,1,1,2
20240313-democracy-leaders-introduce-solutions-curb-emerging-digital-threats.txt,Democratic,5,Deepfakes have the potential to wreak havoc on our democracy by attributing speech and conduct to a person that is false or that never happened.,,Zack,0,1,1,0
20240521-assemblymember-bauer-kahans-bill-protect-childrens-data-ai-passes-floor.txt,Democratic,4,The use of a minor's personal data in AI presents an especially urgent set of risks.,,Zack,0,1,1,2
20240521-assemblymember-bauer-kahans-bill-protect-childrens-data-ai-passes-floor.txt,Democratic,3,The promises and perils of AI are becoming increasingly clear.,,Zack,0,1,1,2
20240521-assemblymember-bauer-kahans-bill-protect-childrens-data-ai-passes-floor.txt,Democratic,2,Children's highly sensitive information is used in AI development.,,Zack,0,1,1,2
governor-signs-physicians-make-decisions-act-keeping-medical.txt,Democratic,10,"AI has immense potential to enhance healthcare delivery. (This reiterates a broad, positive potential for AI in healthcare).",,Zack,0,1,1,2
governor-signs-physicians-make-decisions-act-keeping-medical.txt,Democratic,5,AI has the potential to improve access to care and save insurers money. (This claims a potential benefit and efficiency gain from AI in healthcare administration).,,Zack,0,1,1,2
governor-signs-physicians-make-decisions-act-keeping-medical.txt,Democratic,4,AI algorithms can lead to erroneous or biased decisions on medical treatment. (This claims a significant flaw or risk associated with AI in medical decision-making).,,Zack,0,1,1,2
privacy-committee-approves-groundbreaking-ai-transparency-bill.txt,Democratic,6,"Generative AI content (images, audio, video) has potential for misuse, including spreading political misinformation and creating deepfakes. (This claims specific, harmful applications made possible by generative AI capabilities).",,Zack,0,1,1,2
privacy-committee-approves-groundbreaking-ai-transparency-bill.txt,Democratic,3,AI-detection tools exist for users to query content origin. (This claims the availability and function of AI detection technologies).,,Zack,0,1,1,2
privacy-committee-approves-groundbreaking-ai-transparency-bill.txt,Democratic,4,"AI has become an integral part of daily life, influencing products. (This claims the widespread adoption and impact of AI).",,Zack,0,1,1,2
20240116-berman-introduces-legislation-outlaw-child-sexual-abuse-images-generated-ai.txt,Democratic,8,Research has shown a correlation between the consumption of CSAM and an increased risk of individuals engaging in hands-on sexual offenses against minors.,,Zack,0,1,1,0
20240116-berman-introduces-legislation-outlaw-child-sexual-abuse-images-generated-ai.txt,Democratic,9,Viewing and possessing such material can contribute to desensitization and may escalate criminal behavior.,,Zack,0,1,1,0
20240116-berman-introduces-legislation-outlaw-child-sexual-abuse-images-generated-ai.txt,Democratic,5,Online child exploitation is exacerbated by the rise of AI.,,Zack,0,1,1,0
20230321-assemblywoman-lori-d-wilson-announces-advancement-freedom-face-surveillance.txt,Democratic,5,Police use of face surveillance violates privacy.,,Zack,1,1,1,0
20230321-assemblywoman-lori-d-wilson-announces-advancement-freedom-face-surveillance.txt,Democratic,7,Face surveillance could be used as a means of retaliation and suppression against Black Lives Matter activists.,,Zack,1,1,1,0
20230321-assemblywoman-lori-d-wilson-announces-advancement-freedom-face-surveillance.txt,Democratic,9,The use of facial recognition technology by police departments increases racial disparities in Black and white arrest rates.,,Zack,1,1,1,2
20241226-new-year-new-laws.txt,Democratic,3,"AI-generated pictures and videos of children being sexually abused are disturbing, harmful, and virtually indistinguishable from actual children.",,Zack,1,1,1,0
20241226-new-year-new-laws.txt,Democratic,1,AI-driven child sexual exploitation poses a new frontier of threats.,,Zack,1,1,1,0
20241226-new-year-new-laws.txt,Democratic,4,AI-generated content can be virtually indistinguishable from actual children.,,Zack,1,1,1,0
20241003-california-teach-ai-literacy-every-grade.txt,Democratic,4,"All students need to understand basic AI principles and applications, and have the skills to recognize when AI is employed.",,Zack,0,1,1,2
20241003-california-teach-ai-literacy-every-grade.txt,Democratic,8,"AI literacy is defined as the knowledge, skills, and attitudes associated with how artificial intelligence works, including its principles, concepts, applications, limitations, implications, and ethical considerations.",,Zack,0,1,1,2
20241003-california-teach-ai-literacy-every-grade.txt,Democratic,5,"Students need to be aware of AI's implications, limitations, and ethical considerations.",,Zack,0,1,1,0
gallagher-urges-veto-of-bills-on-governors-desk-09-15-2022.txt,Republican,,,,Zack,0,1,1,0
jones-introduces-bipartisan-measure-prevent-sexually-violent-predators-being-dumped.txt,Republican,,,,Zack,0,1,1,0
senator-choi-demands-answers-gerrymandering-senate-committee.txt,Republican,,,,Zack,1,1,1,0
federal-prosecutors-step-in-to-bring-justice-for-attempted-murder-victim-ret-sheriffs-deputy-meagan-mccarthy.txt,Republican,,,,Zack,0,1,1,0
newsoms-attacks-usc-professor-mische-are-petty-misleading-and-unworthy-his-office.txt,Republican,,,,Zack,0,1,1,0
measures-protect-communities-sexually-violent-predators-unanimously-pass-assembly-public.txt,Republican,,,,Zack,0,1,1,0
fallbrook-bonsall-village-news-pointing-fingers-will-not-reform-bad-policies-changing.txt,Republican,,,,Zack,0,1,1,0
assemblyman-jeff-gonzalez-statement-on-the-passage-of-ab-1412-supporting-military-families-and-students-with-special-needs.txt,Republican,,,,Zack,1,1,1,0
senate-minority-leader-jones-introduces-two-measures-protect-communities-sexually-violent.txt,Republican,,,,Zack,0,1,1,0
gallagher-trump-is-right-california-is-failing-girls-sports.txt,Republican,,,,Zack,0,1,1,0
assemblyman-tri-ta-announces-the-governor-signing-two-bills-on-public-safety.txt,Republican,,,,Zack,1,1,1,0
assemblyman-essayli-introduces-ajr-6-calling-for-immediate-pause-to-artificial-intelligence-development.txt,Republican,4,Consultation with experts in the tech industry who are sounding the alarm about advanced AI technology is needed.,,Zack,1,1,1,2
assemblyman-essayli-introduces-ajr-6-calling-for-immediate-pause-to-artificial-intelligence-development.txt,Republican,1,"The future of humanity and how we live, work, and play, depends on thoughtful planning and management of the most advanced artificial intelligence systems.",,Zack,1,1,1,2
assemblyman-essayli-introduces-ajr-6-calling-for-immediate-pause-to-artificial-intelligence-development.txt,Republican,6,"Recent advances in AI present ""profound risks to society and humanity"".",,Zack,1,1,1,2
leader-jones-introduces-legislation-protect-crime-victims-parole-process.txt,Republican,,,,Zack,0,1,1,0
senate-republican-leader-grove-demands-governor-cancel-35-million-contract-team-biden-firm.txt,Republican,,,,Zack,0,1,1,0
joness-measure-protect-communities-sexually-violent-predators-unanimously-passes.txt,Republican,,,,Zack,0,1,1,0
